BCCmagmom_arithmetic_average,NdUnfilled_arithmetic_average,num_electron,NdUnfilled_composition_average,heusler type_0,AtomicRadii_min_value,BCCmagmom_composition_average,GSmagmom_composition_average,Group_composition_average,Column_composition_average,heusler type_2,NUnfilled_composition_average,MendeleevNumber_composition_average,phi_composition_average,GSenergy_pa_max_value,GSenergy_pa_min_value,ElectronAffinity_composition_average,n_ws^third_composition_average,Electronegativity_composition_average,valence_composition_average,ICSDVolume_min_value,GSenergy_pa_composition_average,BCCenergy_pa_composition_average,Polarizability_composition_average,phi_difference
0.0,4.333333333333333,19,4.5,1.0,1.249,0.0,5.633333333325e-06,7.25,7.25,0.0,6.25,53.5,4.325,-9.50571654,-9.50571654,48.25,1.5925,1.6175,4.75,12.0,-7.633020829999999,-7.580267599999999,11.15,0.8500000000000005
0.0,4.333333333333333,19,4.5,1.0,1.249,0.0,5.633333333325e-06,7.25,7.25,0.0,6.25,53.75,4.300000000000002,-9.50571654,-9.50571654,44.25,1.5725000000000002,1.6675,4.75,12.0,-7.449728875625,-7.412318507499998,11.48,0.8500000000000005
0.0,4.333333333333333,19,4.5,1.0,1.249,0.0,5.633333333325e-06,7.25,7.25,0.0,6.25,54.0,4.25,-9.50571654,-9.50571654,44.25,1.5375,1.66,4.75,12.0,-7.36336554,-7.3311970975,11.8625,0.8500000000000005
0.0,4.333333333333333,20,4.5,1.0,1.249,0.0,5.633333333325e-06,7.5,7.5,0.0,6.0,54.75,4.45,-9.50571654,-9.50571654,70.4,1.62,1.69,5.0,12.0,-8.05289455125,-7.893223415,10.8325,0.9000000000000004
0.0,4.333333333333333,20,4.5,1.0,1.249,0.0,5.633333333325e-06,7.5,7.5,0.0,6.0,55.0,4.4125000000000005,-9.50571654,-9.50571654,67.0,1.5875,1.7174999999999998,5.0,12.0,-7.85067493625,-7.737312039999999,10.91,0.8500000000000005
0.0,4.333333333333333,20,4.5,1.0,1.249,0.0,5.633333333325e-06,7.5,7.5,0.0,6.0,55.25,4.3125,-9.50571654,-9.50571654,67.25,1.5550000000000002,1.7049999999999998,5.0,12.0,-7.6869268225,-7.6414521775,11.215,0.8500000000000005
0.0,4.333333333333333,21,4.5,1.0,1.249,0.0,5.633333333325e-06,7.75,7.75,0.0,5.75,56.0,4.6625000000000005,-9.50571654,-9.50571654,54.925,1.6575000000000002,1.7624999999999995,5.25,12.0,-8.046792310625,-7.8384798674999985,10.3575,1.75
0.0,4.333333333333333,21,4.5,1.0,1.249,0.0,5.633333333325e-06,7.75,7.75,0.0,5.75,56.25,4.4750000000000005,-9.50571654,-9.50571654,56.25,1.605,1.7599999999999998,5.25,12.0,-7.85938732875,-7.721461815,10.5275,1.0
0.0,4.333333333333333,21,4.5,1.0,1.249,0.0,5.633333333325e-06,7.75,7.75,0.0,5.75,56.5,4.375,-9.50571654,-9.50571654,62.25,1.56,1.7274999999999998,5.25,12.0,-7.726005635,-7.640199599999999,11.1,0.8500000000000005
0.0,4.0,20,4.25,1.0,1.249,0.0,0.0,7.5,7.5,0.0,6.0,54.25,4.4375,-9.50571654,-9.50571654,55.75,1.6224999999999998,1.64,5.0,12.0,-7.9240292225,-7.899765745,10.6,0.4500000000000002
0.0,4.0,20,4.25,1.0,1.249,0.0,0.0,7.5,7.5,0.0,6.0,54.5,4.4125,-9.50571654,-9.50571654,51.75,1.6025,1.69,5.0,12.0,-7.7407372681250015,-7.7318166525,10.93,0.5500000000000007
0.0,4.0,20,4.25,1.0,1.249,0.0,0.0,7.5,7.5,0.0,6.0,54.75,4.3625,-9.50571654,-9.50571654,51.75,1.5675,1.6825,5.0,12.0,-7.6543739325,-7.6506952425,11.3125,0.7500000000000004
0.0,4.0,21,4.25,1.0,1.249,0.0,0.0,7.75,7.75,0.0,5.75,55.5,4.5625,-9.50571654,-9.50571654,77.9,1.65,1.7125,5.25,12.0,-8.34390294375,-8.21272156,10.2825,0.4500000000000002
0.0,4.0,21,4.25,1.0,1.249,0.0,0.0,7.75,7.75,0.0,5.75,55.75,4.525,-9.50571654,-9.50571654,74.5,1.6175,1.7399999999999998,5.25,12.0,-8.14168332875,-8.056810185,10.36,0.4000000000000004
0.0,4.0,21,4.25,1.0,1.249,0.0,0.0,7.75,7.75,0.0,5.75,56.0,4.425000000000002,-9.50571654,-9.50571654,74.75,1.585,1.7274999999999998,5.25,12.0,-7.977935215,-7.9609503225,10.665,0.5
0.0,4.0,22,4.25,1.0,1.249,0.0,0.0,8.0,8.0,0.0,5.5,56.75,4.775,-9.50571654,-9.50571654,62.425,1.6875,1.7849999999999997,5.5,12.0,-8.337800703125,-8.1579780125,9.8075,1.2999999999999998
